Month,Weight_loss,FORECAST,STD,L95,U95,RESIDUAL
01JUL08,68,64.146438586,3.0296700233,58.208394455,70.084482716,3.8535614143
01AUG08,64,62.591529576,3.0293758031,56.654062106,68.528997045,1.4084704244
01SEP08,64,58.267466044,3.0293511891,52.330046817,64.204885271,5.7325339562
01OCT08,64,60.012463456,3.0293482305,54.075050027,65.949876884,3.9875365445
01NOV08,63,60.789762398,3.0293360475,54.852372848,66.727151948,2.2102376023
01DEC08,68,58.730345226,3.0292198351,52.793183448,64.667507004,9.2696547738
01JAN09,82,81.863345049,3.0280895554,75.928398578,87.79829152,0.1366549509
01FEB09,70,77.597968293,3.0181722228,71.682459437,83.513477149,-7.597968293
01MAR09,71,79.394873044,3.0170585047,73.481547036,85.308199053,-8.394873044
01APR09,77,73.533787213,3.0169083269,67.620755548,79.446818879,3.4662127866
01MAY09,82,75.141341741,3.0169071044,69.228312472,81.05437101,6.858658259
01JUN09,79,80.974558273,3.0168093469,75.061720604,86.887395941,-1.974558273
01JUL09,79,81.463733924,3.0161859506,75.55211809,87.375349758,-2.463733924
01AUG09,83,77.405336027,3.0160719239,71.493943681,83.316728373,5.5946639731
01SEP09,75,76.632102879,3.0160606703,70.72073259,82.543473168,-1.632102879
01OCT09,77,74.190391741,3.01606022,68.279022335,80.101761148,2.8096082587
01NOV09,75,74.773101713,3.016055275,68.861741998,80.684461427,0.2268982873
01DEC09,68,75.354934818,3.0160130464,69.44365787,81.266211766,-7.354934818
01JAN10,94,85.997097937,3.0155823583,80.086665123,91.907530752,8.0029020628
01FEB10,87,84.808742936,3.0118291141,78.905666345,90.711819527,2.1912570639
01MAR10,94,91.129206403,3.0114058293,85.226959435,97.031453371,2.8707935973
01APR10,95,95.473919426,3.0113489312,89.571783976,101.37605488,-0.473919426
01MAY10,97,97.97220428,3.0113484504,92.070069772,103.87433879,-0.97220428
01JUN10,92,96.241753868,3.0113112998,90.339692174,102.14381556,-4.241753868
01JUL10,87,93.437566907,3.0110747285,87.535968885,99.33916493,-6.437566907
01AUG10,87,87.411810368,3.0110311773,81.510297704,93.313323032,-0.411810368
01SEP10,81,82.947356642,3.0110276901,77.045850813,88.848862471,-1.947356642
01OCT10,77,82.487723618,3.0110264811,76.586220159,88.389227078,-5.487723618
01NOV10,73,76.476035982,3.0110251983,70.574535037,82.377536927,-3.476035982
01DEC10,63,71.133131489,3.0110085707,65.231663133,77.034599845,-8.133131489
01JAN11,90,86.276597119,3.0108439781,80.375451359,92.177742879,3.7234028807
01FEB11,82,80.988116081,3.0094079372,75.089784909,86.886447252,1.0118839193
01MAR11,83,87.675328418,3.0092437941,81.777318961,93.573337875,-4.675328418
01APR11,85,86.26428774,3.0092217783,80.366321433,92.162254047,-1.26428774
01MAY11,86,85.922667648,3.0092215843,80.024701721,91.820633575,0.0773323518
01JUN11,86,85.347544037,3.0092073151,79.449606078,91.245481997,0.6524559626
01JUL11,86,84.559570369,3.0091166533,78.661810103,90.457330634,1.4404296315
01AUG11,89,85.338517218,3.0090999197,79.44078975,91.236244687,3.6614827819
01SEP11,85,82.045244011,3.009098552,76.147519223,87.942968799,2.9547559892
01OCT11,79,82.316255655,3.0090980839,76.418531784,88.213979525,-3.316255655
01NOV11,76,76.922844981,3.0090975959,71.025122067,82.820567895,-0.922844981
01DEC11,71,70.007606035,3.0090912241,64.10989561,75.90531646,0.992393965
01JAN12,98,93.309724243,3.0090278658,87.412137998,99.207310489,4.6902757569
01FEB12,93,88.628627561,3.0084735853,82.732127685,94.525127436,4.3713724392
01MAR12,92,94.545729518,3.0084120928,88.649350166,100.44210887,-2.545729518
01APR12,93,94.477239756,3.0084038309,88.580876597,100.37360292,-1.477239756
01MAY12,91,93.808472343,3.0084037623,87.912109318,99.704835368,-2.808472343
01JUN12,89,91.55345384,3.0083982894,85.657101542,97.449806139,-2.55345384
01JUL12,91,89.111514721,3.0083634348,83.215230737,95.007798706,1.8884852786
